"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,99,1
"2",1,3,0,0.654615559308529,97,1
"3",2,6,0,1.30923111861706,94,1
"4",3,6,0,1.30923111861706,94,1
"5",4,9,0,1.96384667792559,91,1
"6",5,9,0,1.96384667792559,91,1
"7",6,15,0,3.27307779654265,85,1
"8",7,25,0,5.45512966090441,75,1
"9",8,43,0,9.38282301675558,57,1
"10",9,50,0,10.9102593218088,50,1
"11",10,53,0,11.5648748811173,44,1
"12",11,62,0,13.5287215590429,33,1
"13",12,67,0,14.6197474912238,28,1
"14",13,74,0,16.147183796277,19,1
"15",14,77,0,16.8017993555856,16,1
"16",15,74,1,16.147183796277,13,1
"17",16,68,1,14.83795267766,11,1
"18",17,57,2,12.437695626862,9,1
"19",18,54,2,11.7830800675535,6,1
"20",19,51,3,11.128464508245,5,1
"21",20,40,5,8.72820745744705,5,1
"22",21,30,11,6.54615559308529,5,1
"23",22,22,12,4.80051410159588,5,1
"24",23,16,15,3.49128298297882,5,1
"25",24,11,17,2.40025705079794,5,1
"26",25,9,18,1.96384667792559,5,1
"27",26,6,20,1.30923111861706,5,1
"28",27,3,20,0.654615559308529,5,1
"29",28,2,20,0.436410372872353,5,1
"30",29,1,21,0.218205186436176,5,1
"31",30,0,22,0,5,1
"32",31,0,22,0,5,1
"33",32,0,22,0,5,1
"34",33,0,22,0,5,1
"35",34,0,22,0,5,1
"36",35,0,22,0,5,1
"37",36,0,22,0,5,1
"38",37,0,22,0,5,1
"39",38,0,22,0,5,1
"40",39,0,22,0,5,1
"41",40,0,22,0,5,1
"42",41,0,22,0,5,1
"43",42,0,22,0,5,1
"44",43,0,22,0,5,1
"45",44,0,22,0,5,1
"46",45,0,22,0,5,1
"47",46,0,22,0,5,1
"48",47,0,22,0,5,1
"49",48,0,22,0,5,1
"50",49,0,22,0,5,1
"51",50,0,22,0,5,1
"52",51,0,22,0,5,1
"53",52,0,22,0,5,1
"54",53,0,22,0,5,1
"55",54,0,22,0,5,1
"56",55,0,22,0,5,1
"57",56,0,22,0,5,1
"58",57,0,22,0,5,1
"59",58,0,22,0,5,1
"60",59,0,22,0,5,1
"61",60,0,22,0,5,1
"62",61,0,22,0,5,1
"63",62,0,22,0,5,1
"64",63,0,22,0,5,1
"65",64,0,22,0,5,1
"66",65,0,22,0,5,1
"67",66,0,22,0,5,1
"68",67,0,22,0,5,1
"69",68,0,22,0,5,1
"70",69,0,22,0,5,1
"71",70,0,22,0,5,1
"72",71,0,22,0,5,1
"73",72,0,22,0,5,1
"74",73,0,22,0,5,1
"75",74,0,22,0,5,1
"76",75,0,22,0,5,1
"77",76,0,22,0,5,1
"78",77,0,22,0,5,1
"79",78,0,22,0,5,1
"80",79,0,22,0,5,1
"81",80,0,22,0,5,1
"82",81,0,22,0,5,1
"83",82,0,22,0,5,1
"84",83,0,22,0,5,1
"85",84,0,22,0,5,1
"86",85,0,22,0,5,1
"87",86,0,22,0,5,1
"88",87,0,22,0,5,1
"89",88,0,22,0,5,1
"90",89,0,22,0,5,1
"91",90,0,22,0,5,1
"92",91,0,22,0,5,1
"93",92,0,22,0,5,1
"94",93,0,22,0,5,1
"95",94,0,22,0,5,1
"96",95,0,22,0,5,1
"97",96,0,22,0,5,1
"98",97,0,22,0,5,1
"99",98,0,22,0,5,1
"100",99,0,22,0,5,1
"101",100,0,22,0,5,1
