time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,4,96,4,3,0
2.0,5,95,5,4,0
3.0,10,90,10,5,0
4.0,15,85,15,7,0
5.0,19,81,19,7,0
6.0,23,77,23,7,0
7.0,28,72,28,9,0
8.0,36,64,36,11,0
9.0,37,63,37,12,0
10.0,44,55,44,14,0
11.0,48,48,48,14,3
12.0,50,45,50,13,4
13.0,53,37,53,13,5
14.0,53,32,53,12,7
15.0,52,29,52,13,7
16.0,51,26,51,14,7
17.0,47,25,47,12,9
18.0,41,23,41,10,11
19.0,42,21,42,10,12
20.0,34,21,34,8,14
21.0,28,20,28,5,17
22.0,27,18,27,5,17
23.0,19,18,19,4,18
24.0,14,18,14,3,19
