time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,988,2,0,0
2.0,2,988,2,0,0
3.0,2,988,2,0,0
4.0,3,987,3,0,0
5.0,4,986,4,0,0
6.0,5,985,5,0,0
7.0,10,980,10,1,0
8.0,15,975,15,2,0
9.0,21,969,21,2,0
10.0,30,959,30,3,0
11.0,35,953,35,4,0
12.0,42,946,42,4,0
13.0,50,938,50,4,0
14.0,61,926,61,6,0
15.0,65,921,65,6,0
16.0,75,910,75,7,0
17.0,80,901,80,7,0
18.0,88,889,88,7,0
19.0,91,880,91,7,0
20.0,96,866,96,8,0
21.0,110,846,110,10,1
22.0,112,836,112,9,2
23.0,113,827,113,9,2
24.0,121,808,121,8,3
25.0,129,794,129,8,4
26.0,128,785,128,10,4
27.0,138,766,138,12,4
28.0,137,753,137,10,6
29.0,138,743,138,10,6
30.0,140,727,140,12,7
31.0,137,713,137,12,7
32.0,141,699,141,13,7
33.0,138,693,138,13,7
34.0,130,681,130,13,8
35.0,129,666,129,10,11
36.0,132,656,132,10,11
37.0,128,643,128,10,11
38.0,127,631,127,10,11
39.0,124,623,124,9,12
40.0,122,610,122,8,14
41.0,113,603,113,6,16
42.0,107,596,107,7,16
43.0,108,589,108,7,16
44.0,104,579,104,5,19
45.0,102,566,102,5,19
46.0,102,555,102,5,20
47.0,103,541,103,5,20
48.0,98,533,98,5,21
49.0,91,532,91,5,21
50.0,83,528,83,5,21
51.0,77,527,77,5,21
52.0,79,519,79,5,21
53.0,77,514,77,5,21
54.0,72,509,72,4,22
55.0,62,506,62,5,22
56.0,55,502,55,4,23
57.0,43,500,43,4,23
58.0,35,500,35,3,24
59.0,34,500,34,3,24
60.0,30,499,30,2,25
61.0,31,497,31,2,25
62.0,24,495,24,1,26
63.0,20,494,20,1,26
64.0,17,492,17,1,26
65.0,15,492,15,1,26
66.0,12,491,12,1,26
67.0,11,490,11,1,26
68.0,12,489,12,1,26
69.0,12,488,12,1,27
70.0,11,488,11,1,27
71.0,11,486,11,1,27
72.0,9,486,9,1,27
73.0,8,486,8,1,27
74.0,6,486,6,1,27
75.0,8,484,8,1,27
76.0,7,484,7,1,27
77.0,6,484,6,1,27
78.0,6,483,6,1,27
79.0,6,483,6,1,27
80.0,6,483,6,1,27
81.0,4,483,4,1,27
82.0,4,483,4,1,27
83.0,3,483,3,0,28
84.0,3,483,3,0,28
85.0,1,483,1,0,28
86.0,2,482,2,0,28
87.0,2,482,2,0,28
88.0,1,482,1,0,28
89.0,1,482,1,0,28
90.0,1,482,1,0,28
91.0,1,482,1,0,28
92.0,1,482,1,0,28
93.0,2,481,2,0,28
94.0,2,481,2,0,28
95.0,2,481,2,0,28
96.0,1,481,1,0,28
97.0,1,481,1,0,28
98.0,1,481,1,0,28
99.0,1,481,1,0,28
100.0,1,481,1,0,28
