time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2,1,949,1,0,0
3,1,949,1,0,0
4,1,949,1,0,0
5,1,949,1,0,0
6,1,949,1,0,0
7.0,2,948,2,0,0
8.0,3,947,3,0,0
9.0,3,947,3,0,0
10.0,2,947,2,0,0
11.0,4,945,4,0,0
12.0,4,945,4,0,0
13.0,4,945,4,0,0
14.0,4,945,4,0,0
15.0,4,945,4,0,0
16.0,5,944,5,0,0
17.0,4,944,4,0,0
18.0,4,943,4,0,0
19.0,4,943,4,0,0
20.0,6,941,6,0,0
21.0,4,941,4,0,0
22.0,7,938,7,0,0
23.0,7,938,7,0,0
24.0,8,937,8,0,0
25.0,8,937,8,0,0
26.0,8,936,8,0,0
27.0,9,935,9,0,0
28.0,8,935,8,0,0
29.0,10,933,10,0,0
30.0,8,933,8,0,0
31.0,10,931,10,0,0
32.0,8,930,8,0,0
33.0,10,928,10,0,0
34.0,9,928,9,0,0
35.0,10,927,10,0,0
36.0,9,927,9,0,0
37.0,10,925,10,0,0
38.0,12,923,12,0,0
39.0,13,920,13,0,0
40.0,14,919,14,0,0
41.0,12,919,12,0,0
42.0,14,916,14,0,0
43.0,14,914,14,0,0
44.0,15,913,15,0,0
45.0,14,913,14,0,0
46.0,15,912,15,0,0
47.0,15,910,15,0,0
48.0,15,908,15,0,0
49.0,12,908,12,0,0
50.0,11,908,11,0,0
51.0,13,906,13,0,0
52.0,10,906,10,0,0
53.0,11,903,11,0,0
54.0,12,901,12,0,0
55.0,15,898,15,0,0
56.0,19,893,19,0,0
57.0,20,890,20,0,0
58.0,21,887,21,0,0
59.0,22,886,22,0,0
60.0,30,878,30,0,0
61.0,33,873,33,0,0
62.0,36,870,36,0,0
63.0,40,863,40,0,0
64.0,46,855,46,0,0
65.0,49,849,49,0,0
66.0,48,845,48,0,0
67.0,55,835,55,0,0
68.0,54,833,54,0,0
69.0,68,818,68,0,0
70.0,73,805,73,0,0
71.0,74,799,74,0,0
72.0,80,790,80,0,0
73.0,80,783,80,0,0
74.0,77,778,77,0,0
75.0,84,765,84,0,0
76.0,89,756,89,0,0
77.0,90,745,90,0,0
78.0,98,735,98,0,0
79.0,92,726,92,0,0
80.0,88,717,88,0,0
81.0,93,706,93,0,0
82.0,95,695,95,0,0
83.0,102,681,102,0,0
84.0,106,672,106,0,0
85.0,105,660,105,0,0
86.0,102,654,102,0,0
87.0,107,638,107,0,0
88.0,106,629,106,0,0
89.0,107,619,107,0,0
90.0,112,605,112,0,0
91.0,114,592,114,0,0
92.0,115,580,115,0,0
93.0,109,572,109,0,0
94.0,109,563,109,0,0
95.0,107,553,107,0,0
96.0,108,546,108,0,0
97.0,97,541,97,0,0
98.0,103,526,103,0,0
99.0,98,521,98,0,0
100.0,88,517,88,0,0
