time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,498,2,1,0
2.0,165,335,165,31,0
3.0,447,53,447,82,0
4.0,498,2,498,90,0
5.0,500,0,500,91,0
6.0,500,0,500,91,0
7.0,500,0,500,91,0
8.0,500,0,500,91,0
9.0,500,0,500,91,0
10.0,500,0,500,91,0
11.0,499,0,499,91,0
12.0,366,0,366,91,0
13.0,135,0,135,91,0
14.0,91,0,91,90,1
15.0,90,0,90,90,1
16.0,60,0,60,60,31
17.0,9,0,9,9,82
18.0,1,0,1,1,90
19.0,0,0,0,0,91
20.0,0,0,0,0,91
21.0,0,0,0,0,91
22.0,0,0,0,0,91
23.0,0,0,0,0,91
24.0,0,0,0,0,91
25.0,0,0,0,0,91
26.0,0,0,0,0,91
27.0,0,0,0,0,91
28.0,0,0,0,0,91
29.0,0,0,0,0,91
30.0,0,0,0,0,91
31.0,0,0,0,0,91
32.0,0,0,0,0,91
33.0,0,0,0,0,91
34.0,0,0,0,0,91
35.0,0,0,0,0,91
36.0,0,0,0,0,91
37.0,0,0,0,0,91
38.0,0,0,0,0,91
39.0,0,0,0,0,91
40.0,0,0,0,0,91
41.0,0,0,0,0,91
42.0,0,0,0,0,91
43.0,0,0,0,0,91
44.0,0,0,0,0,91
45.0,0,0,0,0,91
46.0,0,0,0,0,91
47.0,0,0,0,0,91
48.0,0,0,0,0,91
49.0,0,0,0,0,91
50.0,0,0,0,0,91
51.0,0,0,0,0,91
52.0,0,0,0,0,91
53.0,0,0,0,0,91
54.0,0,0,0,0,91
55.0,0,0,0,0,91
56.0,0,0,0,0,91
57.0,0,0,0,0,91
58.0,0,0,0,0,91
59.0,0,0,0,0,91
60.0,0,0,0,0,91
61.0,0,0,0,0,91
62.0,0,0,0,0,91
63.0,0,0,0,0,91
64.0,0,0,0,0,91
65.0,0,0,0,0,91
66.0,0,0,0,0,91
67.0,0,0,0,0,91
68.0,0,0,0,0,91
69.0,0,0,0,0,91
70.0,0,0,0,0,91
71.0,0,0,0,0,91
72.0,0,0,0,0,91
73.0,0,0,0,0,91
74.0,0,0,0,0,91
75.0,0,0,0,0,91
76.0,0,0,0,0,91
77.0,0,0,0,0,91
78.0,0,0,0,0,91
79.0,0,0,0,0,91
80.0,0,0,0,0,91
81.0,0,0,0,0,91
82.0,0,0,0,0,91
83.0,0,0,0,0,91
84.0,0,0,0,0,91
85.0,0,0,0,0,91
86.0,0,0,0,0,91
87.0,0,0,0,0,91
88.0,0,0,0,0,91
89.0,0,0,0,0,91
90.0,0,0,0,0,91
91.0,0,0,0,0,91
92.0,0,0,0,0,91
93.0,0,0,0,0,91
94.0,0,0,0,0,91
95.0,0,0,0,0,91
96.0,0,0,0,0,91
97.0,0,0,0,0,91
98.0,0,0,0,0,91
99.0,0,0,0,0,91
100.0,0,0,0,0,91
