time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6,1,999,1,0,0
7,1,999,1,0,0
8,1,999,1,0,0
9,1,999,1,0,0
10,0,999,0,0,0
11,0,999,0,0,0
12.0,1,998,1,0,0
13.0,1,998,1,0,0
14.0,1,998,1,0,0
15.0,1,998,1,0,0
16.0,1,998,1,0,0
17.0,1,998,1,0,0
18.0,5,994,5,0,0
19.0,5,994,5,0,0
20.0,8,991,8,0,0
21.0,13,986,13,0,0
22.0,15,983,15,0,0
23.0,26,972,26,0,0
24.0,41,957,41,0,0
25.0,53,945,53,0,0
26.0,90,908,90,0,0
27.0,166,832,166,0,0
28.0,230,764,230,1,0
29.0,331,663,331,2,0
30.0,435,556,435,2,0
31.0,522,464,522,2,0
32.0,603,380,603,2,0
33.0,650,322,650,2,0
34.0,694,263,694,2,0
35.0,723,222,723,2,0
36.0,727,181,727,2,0
37.0,683,149,683,2,0
38.0,644,121,644,2,0
39.0,563,102,563,2,0
40.0,463,95,463,2,0
41.0,375,91,375,2,0
42.0,295,86,295,1,1
43.0,239,83,239,0,2
44.0,184,79,184,0,2
45.0,145,77,145,0,2
46.0,105,76,105,0,2
47.0,75,74,75,0,2
48.0,47,74,47,0,2
49.0,28,74,28,0,2
50.0,22,73,22,0,2
51.0,19,72,19,0,2
52.0,16,70,16,0,2
53.0,13,70,13,0,2
54.0,9,70,9,0,2
55.0,8,69,8,0,2
56.0,7,69,7,0,2
57.0,5,69,5,0,2
58.0,5,69,5,0,2
59.0,5,69,5,0,2
60.0,4,69,4,0,2
61.0,3,69,3,0,2
62.0,1,69,1,0,2
63.0,1,69,1,0,2
64.0,1,69,1,0,2
65.0,0,69,0,0,2
66.0,0,69,0,0,2
67.0,0,69,0,0,2
68.0,0,69,0,0,2
69.0,0,69,0,0,2
70.0,0,69,0,0,2
71.0,0,69,0,0,2
72.0,0,69,0,0,2
73.0,0,69,0,0,2
74.0,0,69,0,0,2
75.0,0,69,0,0,2
76.0,0,69,0,0,2
77.0,0,69,0,0,2
78.0,0,69,0,0,2
79.0,0,69,0,0,2
80.0,0,69,0,0,2
81.0,0,69,0,0,2
82.0,0,69,0,0,2
83.0,0,69,0,0,2
84.0,0,69,0,0,2
85.0,0,69,0,0,2
86.0,0,69,0,0,2
87.0,0,69,0,0,2
88.0,0,69,0,0,2
89.0,0,69,0,0,2
90.0,0,69,0,0,2
91.0,0,69,0,0,2
92.0,0,69,0,0,2
93.0,0,69,0,0,2
94.0,0,69,0,0,2
95.0,0,69,0,0,2
96.0,0,69,0,0,2
97.0,0,69,0,0,2
98.0,0,69,0,0,2
99.0,1,69,1,0,2
100.0,1,69,1,0,2
