time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,998,2,0,0
2.0,5,995,5,0,0
3.0,7,993,7,0,0
4.0,14,986,14,0,0
5.0,19,981,19,0,0
6.0,34,966,34,0,0
7.0,62,938,62,0,0
8.0,106,894,106,1,0
9.0,178,822,178,1,0
10.0,272,727,272,1,0
11.0,362,636,362,1,0
12.0,459,536,459,1,0
13.0,533,460,533,1,0
14.0,607,379,607,1,0
15.0,683,298,683,1,0
16.0,728,238,728,1,0
17.0,740,198,740,1,0
18.0,737,158,737,1,0
19.0,694,129,694,1,0
20.0,614,114,614,1,0
21.0,536,101,536,1,0
22.0,442,94,442,0,1
23.0,371,89,371,0,1
24.0,298,81,298,0,1
25.0,221,77,221,0,1
26.0,161,77,161,0,1
27.0,122,76,122,0,1
28.0,87,71,87,0,1
29.0,58,71,58,0,1
30.0,43,71,43,0,1
31.0,30,71,30,0,1
32.0,24,70,24,0,1
33.0,19,70,19,0,1
34.0,12,69,12,0,1
35.0,8,69,8,0,1
36.0,8,69,8,0,1
37.0,7,69,7,0,1
38.0,2,69,2,0,1
39.0,3,68,3,0,1
40.0,3,68,3,0,1
41.0,4,67,4,0,1
42.0,3,67,3,0,1
43.0,3,67,3,0,1
44.0,2,67,2,0,1
45.0,2,67,2,0,1
46.0,2,67,2,0,1
47.0,2,67,2,0,1
48.0,2,67,2,0,1
49.0,1,67,1,0,1
50.0,1,67,1,0,1
51.0,0,67,0,0,1
52.0,0,67,0,0,1
53.0,0,67,0,0,1
54.0,0,67,0,0,1
55.0,0,67,0,0,1
56.0,0,67,0,0,1
57.0,0,67,0,0,1
58.0,0,67,0,0,1
59.0,0,67,0,0,1
60.0,0,67,0,0,1
61.0,0,67,0,0,1
62.0,0,67,0,0,1
63.0,0,67,0,0,1
64.0,0,67,0,0,1
65.0,0,67,0,0,1
66.0,0,67,0,0,1
67.0,0,67,0,0,1
68.0,0,67,0,0,1
69.0,0,67,0,0,1
70.0,0,67,0,0,1
71.0,0,67,0,0,1
72.0,0,67,0,0,1
73.0,0,67,0,0,1
74.0,0,67,0,0,1
75.0,0,67,0,0,1
76.0,0,67,0,0,1
77.0,0,67,0,0,1
78.0,0,67,0,0,1
79.0,0,67,0,0,1
80.0,0,67,0,0,1
81.0,0,67,0,0,1
82.0,0,67,0,0,1
83.0,0,67,0,0,1
84.0,0,67,0,0,1
85.0,0,67,0,0,1
86.0,0,67,0,0,1
87.0,0,67,0,0,1
88.0,0,67,0,0,1
89.0,0,67,0,0,1
90.0,0,67,0,0,1
91.0,0,67,0,0,1
92.0,0,67,0,0,1
93.0,0,67,0,0,1
94.0,0,67,0,0,1
95.0,0,67,0,0,1
96.0,0,67,0,0,1
97.0,0,67,0,0,1
98.0,0,67,0,0,1
99.0,0,67,0,0,1
100.0,0,67,0,0,1
