"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.20839199777,199,1
"2",1,1,0,0.20839199777,199,1
"3",2,1,0,0.20839199777,199,1
"4",3,3,0,0.73555970025,197,1
"5",4,3,0,0.73555970025,197,1
"6",5,3,0,0.73555970025,197,1
"7",6,3,0,0.73555970025,197,1
"8",7,3,0,0.73555970025,197,1
"9",8,4,0,0.95839986069,196,1
"10",9,5,0,1.15903695093,195,1
"11",10,7,0,1.72285588628,192,1
"12",11,11,0,2.5472587772,188,1
"13",12,12,0,2.62654222784,185,1
"14",13,18,0,3.85024019662,179,1
"15",14,27,0,5.78836936244,170,1
"16",15,39,0,8.57639561895,158,1
"17",16,52,0,11.65270497664,145,1
"18",17,62,0,13.78908675441,135,1
"19",18,75,0,16.5751474143,121,1
"20",19,95,0,20.98598694712,101,1
"21",20,118,0,25.70090072543,74,1
"22",21,128,1,27.85506202158,61,1
"23",22,144,1,31.19808794124,41,1
"24",23,151,2,32.86450574923,25,1
"25",24,149,4,32.22078054115,16,1
"26",25,145,5,31.33723672976,9,1
"27",26,137,7,29.63267398478,7,1
"28",27,126,8,27.35056855356,6,1
"29",28,108,11,23.39506428052,6,1
"30",29,84,14,18.26601554514,6,1
"31",30,73,16,15.90347192033,5,1
"32",31,57,19,12.58700298267,4,1
"33",32,41,24,8.87817868248,3,1
"34",33,30,30,6.6538233696,2,1
"35",34,22,33,4.84881754779,2,1
"36",35,14,39,3.1251942396,2,1
"37",36,9,43,1.91563728841,2,1
"38",37,6,46,1.31137919505,2,1
"39",38,4,48,0.88563200317,2,1
"40",39,5,48,1.08853903461,1,1
"41",40,5,48,1.08853903461,1,1
"42",41,4,48,0.88563200317,1,1
"43",42,4,48,0.88563200317,1,1
"44",43,3,49,0.68516918305,1,1
"45",44,2,50,0.42574719188,1,1
"46",45,2,50,0.42574719188,1,1
"47",46,1,51,0.20290703144,1,1
"48",47,1,51,0.20290703144,1,1
"49",48,0,51,0,1,1
"50",49,0,51,0,1,1
"51",50,0,51,0,1,1
"52",51,0,51,0,1,1
"53",52,0,51,0,1,1
"54",53,0,51,0,1,1
"55",54,0,51,0,1,1
"56",55,0,51,0,1,1
"57",56,0,51,0,1,1
"58",57,0,51,0,1,1
"59",58,0,51,0,1,1
"60",59,0,51,0,1,1
"61",60,0,51,0,1,1
"62",61,0,51,0,1,1
"63",62,0,51,0,1,1
"64",63,0,51,0,1,1
"65",64,0,51,0,1,1
"66",65,0,51,0,1,1
"67",66,0,51,0,1,1
"68",67,0,51,0,1,1
"69",68,0,51,0,1,1
"70",69,0,51,0,1,1
"71",70,0,51,0,1,1
"72",71,0,51,0,1,1
"73",72,0,51,0,1,1
"74",73,0,51,0,1,1
"75",74,0,51,0,1,1
"76",75,0,51,0,1,1
"77",76,0,51,0,1,1
"78",77,0,51,0,1,1
"79",78,0,51,0,1,1
"80",79,0,51,0,1,1
"81",80,0,51,0,1,1
"82",81,0,51,0,1,1
"83",82,0,51,0,1,1
"84",83,0,51,0,1,1
"85",84,0,51,0,1,1
"86",85,0,51,0,1,1
"87",86,0,51,0,1,1
"88",87,0,51,0,1,1
"89",88,0,51,0,1,1
"90",89,0,51,0,1,1
"91",90,0,51,0,1,1
"92",91,0,51,0,1,1
"93",92,0,51,0,1,1
"94",93,0,51,0,1,1
"95",94,0,51,0,1,1
"96",95,0,51,0,1,1
"97",96,0,51,0,1,1
"98",97,0,51,0,1,1
"99",98,0,51,0,1,1
"100",99,0,51,0,1,1
"101",100,0,51,0,1,1
