"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,2,0,0.436410372872353,198,1
"3",2,2,0,0.436410372872353,198,1
"4",3,5,0,1.09102593218088,195,1
"5",4,7,0,1.52743630505323,193,1
"6",5,14,0,3.05487261010647,186,1
"7",6,19,0,4.14589854228735,181,1
"8",7,23,0,5.01871928803206,177,1
"9",8,33,0,7.20077115239382,167,1
"10",9,50,0,10.9102593218088,150,1
"11",10,61,0,13.3105163726067,137,1
"12",11,75,0,16.3653889827132,123,1
"13",12,90,0,19.6384667792559,106,1
"14",13,110,0,24.0025705079794,85,1
"15",14,123,0,26.8392379316497,66,1
"16",15,134,0,29.2394949824476,52,1
"17",16,143,1,31.2033416603732,39,1
"18",17,147,2,32.0761624061179,26,1
"19",18,138,3,30.1123157281923,17,1
"20",19,131,5,28.5848794231391,12,1
"21",20,121,6,26.4028275587773,10,1
"22",21,109,8,23.7843653215432,6,1
"23",22,95,8,20.7294927114367,3,1
"24",23,77,11,16.8017993555856,3,1
"25",24,62,14,13.5287215590429,3,1
"26",25,51,17,11.128464508245,2,1
"27",26,36,21,7.85538671170235,2,1
"28",27,25,25,5.45512966090441,2,1
"29",28,21,27,4.5823089151597,2,1
"30",29,15,31,3.27307779654265,2,1
"31",30,9,33,1.96384667792559,2,1
"32",31,5,35,1.09102593218088,2,1
"33",32,2,38,0.436410372872353,2,1
"34",33,2,38,0.436410372872353,2,1
"35",34,2,38,0.436410372872353,2,1
"36",35,2,39,0.436410372872353,1,1
"37",36,2,39,0.436410372872353,1,1
"38",37,2,39,0.436410372872353,1,1
"39",38,1,40,0.218205186436176,1,1
"40",39,1,40,0.218205186436176,1,1
"41",40,1,40,0.218205186436176,1,1
"42",41,1,40,0.218205186436176,1,1
"43",42,1,40,0.218205186436176,1,1
"44",43,1,40,0.218205186436176,1,1
"45",44,0,40,0,1,1
"46",45,0,40,0,1,1
"47",46,0,40,0,1,1
"48",47,0,40,0,1,1
"49",48,0,40,0,1,1
"50",49,0,40,0,1,1
"51",50,0,40,0,1,1
"52",51,0,40,0,1,1
"53",52,0,40,0,1,1
"54",53,0,40,0,1,1
"55",54,0,40,0,1,1
"56",55,0,40,0,1,1
"57",56,0,40,0,1,1
"58",57,0,40,0,1,1
"59",58,0,40,0,1,1
"60",59,0,40,0,1,1
"61",60,0,40,0,1,1
"62",61,0,40,0,1,1
"63",62,0,40,0,1,1
"64",63,0,40,0,1,1
"65",64,0,40,0,1,1
"66",65,0,40,0,1,1
"67",66,0,40,0,1,1
"68",67,0,40,0,1,1
"69",68,0,40,0,1,1
"70",69,0,40,0,1,1
"71",70,0,40,0,1,1
"72",71,0,40,0,1,1
"73",72,0,40,0,1,1
"74",73,0,40,0,1,1
"75",74,0,40,0,1,1
"76",75,0,40,0,1,1
"77",76,0,40,0,1,1
"78",77,0,40,0,1,1
"79",78,0,40,0,1,1
"80",79,0,40,0,1,1
"81",80,0,40,0,1,1
"82",81,0,40,0,1,1
"83",82,0,40,0,1,1
"84",83,0,40,0,1,1
"85",84,0,40,0,1,1
"86",85,0,40,0,1,1
"87",86,0,40,0,1,1
"88",87,0,40,0,1,1
"89",88,0,40,0,1,1
"90",89,0,40,0,1,1
"91",90,0,40,0,1,1
"92",91,0,40,0,1,1
"93",92,0,40,0,1,1
"94",93,0,40,0,1,1
"95",94,0,40,0,1,1
"96",95,0,40,0,1,1
"97",96,0,40,0,1,1
"98",97,0,40,0,1,1
"99",98,0,40,0,1,1
"100",99,0,40,0,1,1
"101",100,0,40,0,1,1
