"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,1,0,0.218205186436176,199,1
"5",4,2,0,0.436410372872353,198,1
"6",5,2,0,0.436410372872353,198,1
"7",6,2,0,0.436410372872353,198,1
"8",7,3,0,0.654615559308529,197,1
"9",8,4,0,0.872820745744706,196,1
"10",9,6,0,1.30923111861706,194,1
"11",10,6,0,1.30923111861706,193,1
"12",11,7,0,1.52743630505323,192,1
"13",12,12,0,2.61846223723412,187,1
"14",13,14,0,3.05487261010647,184,1
"15",14,17,0,3.709488169415,181,1
"16",15,27,0,5.89154003377676,171,1
"17",16,35,0,7.63718152526617,162,1
"18",17,48,0,10.4738489489365,149,1
"19",18,61,0,13.3105163726067,134,1
"20",19,79,0,17.2382097284579,115,1
"21",20,93,0,20.2930823385644,100,1
"22",21,112,1,24.4389808808517,76,1
"23",22,126,1,27.4938534909582,62,1
"24",23,137,1,29.8941105417561,49,1
"25",24,135,1,29.4577001688838,42,1
"26",25,141,2,30.7669312875008,30,1
"27",26,141,5,30.7669312875008,17,1
"28",27,132,6,28.8030846095752,11,1
"29",28,122,7,26.6210327452135,6,1
"30",29,108,11,23.566160135107,5,1
"31",30,85,14,18.547440847075,3,1
"32",31,73,15,15.9289786098409,3,1
"33",32,60,20,13.0923111861706,1,1
"34",33,50,24,10.9102593218088,1,1
"35",34,38,26,8.2917970845747,1,1
"36",35,23,29,5.01871928803206,1,1
"37",36,15,32,3.27307779654265,1,1
"38",37,11,33,2.40025705079794,0,1
"39",38,8,35,1.74564149148941,0,1
"40",39,5,36,1.09102593218088,0,1
"41",40,4,37,0.872820745744706,0,1
"42",41,3,38,0.654615559308529,0,1
"43",42,3,38,0.654615559308529,0,1
"44",43,3,38,0.654615559308529,0,1
"45",44,3,38,0.654615559308529,0,1
"46",45,1,40,0.218205186436176,0,1
"47",46,0,40,0,0,1
"48",47,0,40,0,0,1
"49",48,0,40,0,0,1
"50",49,0,40,0,0,1
"51",50,0,40,0,0,1
"52",51,0,40,0,0,1
"53",52,0,40,0,0,1
"54",53,0,40,0,0,1
"55",54,0,40,0,0,1
"56",55,0,40,0,0,1
"57",56,0,40,0,0,1
"58",57,0,40,0,0,1
"59",58,0,40,0,0,1
"60",59,0,40,0,0,1
"61",60,0,40,0,0,1
"62",61,0,40,0,0,1
"63",62,0,40,0,0,1
"64",63,0,40,0,0,1
"65",64,0,40,0,0,1
"66",65,0,40,0,0,1
"67",66,0,40,0,0,1
"68",67,0,40,0,0,1
"69",68,0,40,0,0,1
"70",69,0,40,0,0,1
"71",70,0,40,0,0,1
"72",71,0,40,0,0,1
"73",72,0,40,0,0,1
"74",73,0,40,0,0,1
"75",74,0,40,0,0,1
"76",75,0,40,0,0,1
"77",76,0,40,0,0,1
"78",77,0,40,0,0,1
"79",78,0,40,0,0,1
"80",79,0,40,0,0,1
"81",80,0,40,0,0,1
"82",81,0,40,0,0,1
"83",82,0,40,0,0,1
"84",83,0,40,0,0,1
"85",84,0,40,0,0,1
"86",85,0,40,0,0,1
"87",86,0,40,0,0,1
"88",87,0,40,0,0,1
"89",88,0,40,0,0,1
"90",89,0,40,0,0,1
"91",90,0,40,0,0,1
"92",91,0,40,0,0,1
"93",92,0,40,0,0,1
"94",93,0,40,0,0,1
"95",94,0,40,0,0,1
"96",95,0,40,0,0,1
"97",96,0,40,0,0,1
"98",97,0,40,0,0,1
"99",98,0,40,0,0,1
"100",99,0,40,0,0,1
"101",100,0,40,0,0,1
