"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,2,0,0.436410372872353,198,1
"3",2,2,0,0.436410372872353,198,1
"4",3,2,0,0.436410372872353,198,1
"5",4,4,0,0.872820745744706,196,1
"6",5,5,0,1.09102593218088,195,1
"7",6,6,0,1.30923111861706,194,1
"8",7,18,0,3.92769335585118,182,1
"9",8,26,0,5.67333484734058,174,1
"10",9,36,0,7.85538671170235,164,1
"11",10,49,0,10.6920541353726,151,1
"12",11,68,0,14.83795267766,130,1
"13",12,83,0,18.1110304742026,115,1
"14",13,106,0,23.1297497622347,90,1
"15",14,127,0,27.7120586773944,68,1
"16",15,146,0,31.8579572196817,48,1
"17",16,151,0,32.9489831518626,33,1
"18",17,149,0,32.5125727789902,28,1
"19",18,155,0,33.8218038976073,14,1
"20",19,147,0,32.0761624061179,9,1
"21",20,132,2,28.8030846095752,7,1
"22",21,119,3,25.966417185905,6,1
"23",22,100,5,21.8205186436176,6,1
"24",23,86,5,18.7656460335111,4,1
"25",24,64,11,13.9651319319153,3,1
"26",25,50,13,10.9102593218088,3,1
"27",26,38,21,8.2917970845747,2,1
"28",27,20,27,4.36410372872353,2,1
"29",28,13,30,2.83666742367029,1,1
"30",29,9,33,1.96384667792559,1,1
"31",30,8,33,1.74564149148941,1,1
"32",31,6,35,1.30923111861706,1,1
"33",32,4,35,0.872820745744706,1,1
"34",33,2,36,0.436410372872353,1,1
"35",34,2,36,0.436410372872353,1,1
"36",35,1,36,0.218205186436176,1,1
"37",36,1,36,0.218205186436176,1,1
"38",37,0,36,0,1,1
"39",38,0,36,0,1,1
"40",39,0,36,0,1,1
"41",40,0,36,0,1,1
"42",41,0,36,0,1,1
"43",42,0,36,0,1,1
"44",43,0,36,0,1,1
"45",44,0,36,0,1,1
"46",45,0,36,0,1,1
"47",46,0,36,0,1,1
"48",47,0,36,0,1,1
"49",48,0,36,0,1,1
"50",49,0,36,0,1,1
"51",50,0,36,0,1,1
"52",51,0,36,0,1,1
"53",52,0,36,0,1,1
"54",53,0,36,0,1,1
"55",54,0,36,0,1,1
"56",55,0,36,0,1,1
"57",56,0,36,0,1,1
"58",57,0,36,0,1,1
"59",58,0,36,0,1,1
"60",59,0,36,0,1,1
"61",60,0,36,0,1,1
"62",61,0,36,0,1,1
"63",62,0,36,0,1,1
"64",63,0,36,0,1,1
"65",64,0,36,0,1,1
"66",65,0,36,0,1,1
"67",66,0,36,0,1,1
"68",67,0,36,0,1,1
"69",68,0,36,0,1,1
"70",69,0,36,0,1,1
"71",70,0,36,0,1,1
"72",71,0,36,0,1,1
"73",72,0,36,0,1,1
"74",73,0,36,0,1,1
"75",74,0,36,0,1,1
"76",75,0,36,0,1,1
"77",76,0,36,0,1,1
"78",77,0,36,0,1,1
"79",78,0,36,0,1,1
"80",79,0,36,0,1,1
"81",80,0,36,0,1,1
"82",81,0,36,0,1,1
"83",82,0,36,0,1,1
"84",83,0,36,0,1,1
"85",84,0,36,0,1,1
"86",85,0,36,0,1,1
"87",86,0,36,0,1,1
"88",87,0,36,0,1,1
"89",88,0,36,0,1,1
"90",89,0,36,0,1,1
"91",90,0,36,0,1,1
"92",91,0,36,0,1,1
"93",92,0,36,0,1,1
"94",93,0,36,0,1,1
"95",94,0,36,0,1,1
"96",95,0,36,0,1,1
"97",96,0,36,0,1,1
"98",97,0,36,0,1,1
"99",98,0,36,0,1,1
"100",99,0,36,0,1,1
"101",100,0,36,0,1,1
