time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6,1,999,1,0,0
7,1,999,1,0,0
8.0,2,998,2,0,0
9.0,2,998,2,0,0
10.0,1,998,1,0,0
11.0,1,998,1,0,0
12.0,1,998,1,0,0
13.0,1,998,1,0,0
14.0,1,998,1,0,0
15.0,1,998,1,0,0
16.0,2,997,2,1,0
17.0,2,997,2,1,0
18.0,1,997,1,1,0
19.0,1,997,1,1,0
20.0,1,997,1,1,0
21.0,2,996,2,1,0
22.0,2,996,2,1,0
23.0,2,996,2,1,0
24.0,3,995,3,1,0
25.0,3,995,3,1,0
26.0,4,994,4,1,0
27.0,5,993,5,1,0
28.0,5,993,5,1,0
29.0,5,993,5,1,0
30.0,6,991,6,1,1
31.0,6,990,6,1,1
32.0,9,987,9,1,1
33.0,12,984,12,2,1
34.0,18,977,18,3,1
35.0,22,973,22,5,1
36.0,27,967,27,6,1
37.0,38,955,38,6,1
38.0,52,941,52,8,1
39.0,68,925,68,10,1
40.0,89,903,89,15,1
41.0,109,882,109,18,1
42.0,132,856,132,26,1
43.0,161,825,161,34,1
44.0,193,786,193,40,2
45.0,226,751,226,43,2
46.0,254,718,254,50,2
47.0,277,682,277,54,3
48.0,305,641,305,59,4
49.0,333,597,333,70,6
50.0,349,563,349,74,7
51.0,367,527,367,81,7
52.0,374,500,374,82,9
53.0,366,483,366,84,11
54.0,358,454,358,82,16
55.0,348,429,348,79,19
56.0,332,411,332,74,27
57.0,315,389,315,71,35
58.0,293,369,293,67,42
59.0,270,358,270,65,45
60.0,244,348,244,59,52
61.0,219,339,219,56,57
62.0,203,325,203,54,63
63.0,184,318,184,43,76
64.0,160,311,160,39,81
65.0,134,305,134,35,88
66.0,121,300,121,34,91
67.0,103,297,103,31,95
68.0,84,296,84,28,98
69.0,81,289,81,29,98
70.0,73,285,73,27,101
71.0,64,282,64,23,106
72.0,53,280,53,21,109
73.0,50,277,50,20,110
74.0,46,274,46,20,111
75.0,43,272,43,19,113
76.0,38,270,38,15,117
77.0,34,270,34,13,119
78.0,33,269,33,12,120
79.0,24,269,24,9,123
80.0,19,269,19,7,125
81.0,17,268,17,6,126
82.0,16,268,16,6,126
83.0,13,267,13,5,127
84.0,10,267,10,4,128
85.0,9,266,9,4,129
86.0,6,266,6,3,130
87.0,6,266,6,3,130
88.0,4,266,4,2,131
89.0,4,265,4,1,132
90.0,4,265,4,1,132
91.0,3,265,3,1,132
92.0,3,265,3,1,132
93.0,2,265,2,1,132
94.0,2,265,2,1,132
95.0,2,265,2,1,132
96.0,2,265,2,1,132
97.0,2,265,2,1,132
98.0,2,265,2,1,132
99.0,0,265,0,0,133
100.0,0,265,0,0,133
