time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4.0,2,998,2,0,0
5.0,2,998,2,0,0
6.0,3,997,3,0,0
7.0,3,997,3,0,0
8.0,3,997,3,0,0
9.0,3,997,3,0,0
10.0,3,996,3,0,0
11.0,4,995,4,0,0
12.0,4,995,4,0,0
13.0,5,994,5,0,0
14.0,4,994,4,0,0
15.0,4,994,4,0,0
16.0,3,994,3,0,0
17.0,4,993,4,0,0
18.0,6,991,6,0,0
19.0,9,988,9,0,0
20.0,9,987,9,0,0
21.0,14,981,14,0,0
22.0,16,979,16,0,0
23.0,25,969,25,0,0
24.0,30,964,30,0,0
25.0,35,959,35,0,0
26.0,45,949,45,0,0
27.0,55,938,55,0,0
28.0,57,934,57,0,0
29.0,68,920,68,0,0
30.0,76,911,76,0,0
31.0,84,897,84,0,0
32.0,97,882,97,0,0
33.0,98,871,98,0,0
34.0,106,858,106,0,0
35.0,117,842,117,0,0
36.0,124,825,124,0,0
37.0,131,807,131,0,0
38.0,143,791,143,0,0
39.0,145,775,145,0,0
40.0,153,758,153,0,0
41.0,153,744,153,0,0
42.0,146,736,146,0,0
43.0,141,730,141,0,0
44.0,133,725,133,0,0
45.0,124,718,124,0,0
46.0,113,712,113,0,0
47.0,102,705,102,0,0
48.0,87,704,87,0,0
49.0,72,703,72,0,0
50.0,56,702,56,0,0
51.0,44,700,44,0,0
52.0,37,699,37,0,0
53.0,32,698,32,0,0
54.0,27,698,27,0,0
55.0,22,696,22,0,0
56.0,17,695,17,0,0
57.0,10,695,10,0,0
58.0,9,695,9,0,0
59.0,9,694,9,0,0
60.0,9,693,9,0,0
61.0,9,691,9,0,0
62.0,8,691,8,0,0
63.0,7,691,7,0,0
64.0,8,690,8,0,0
65.0,6,690,6,0,0
66.0,5,690,5,0,0
67.0,6,689,6,0,0
68.0,6,689,6,0,0
69.0,5,689,5,0,0
70.0,5,688,5,0,0
71.0,4,687,4,0,0
72.0,4,687,4,0,0
73.0,4,687,4,0,0
74.0,3,687,3,0,0
75.0,3,687,3,0,0
76.0,3,687,3,0,0
77.0,2,687,2,0,0
78.0,3,686,3,0,0
79.0,3,686,3,0,0
80.0,2,686,2,0,0
81.0,1,686,1,0,0
82.0,1,686,1,0,0
83.0,1,686,1,0,0
84.0,1,686,1,0,0
85.0,1,686,1,0,0
86.0,1,686,1,0,0
87.0,1,686,1,0,0
88.0,0,686,0,0,0
89.0,1,685,1,0,0
90.0,1,685,1,0,0
91.0,1,685,1,0,0
92.0,1,685,1,0,0
93.0,1,685,1,0,0
94.0,1,685,1,0,0
95.0,1,685,1,0,0
96.0,1,685,1,0,0
97.0,1,685,1,0,0
98.0,1,685,1,0,0
99.0,0,685,0,0,0
100.0,0,685,0,0,0
