time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,998,2,0,0
2.0,2,998,2,0,0
3.0,2,998,2,0,0
4.0,2,998,2,0,0
5.0,2,998,2,0,0
6.0,4,996,4,0,0
7.0,4,996,4,0,0
8.0,6,994,6,0,0
9.0,7,993,7,0,0
10.0,7,992,7,0,0
11.0,14,984,14,0,0
12.0,22,976,22,0,0
13.0,44,954,44,1,0
14.0,78,920,78,3,0
15.0,129,869,129,3,0
16.0,192,804,192,3,0
17.0,274,722,274,5,0
18.0,359,635,359,8,0
19.0,455,538,455,12,0
20.0,521,471,521,13,0
21.0,587,397,587,14,0
22.0,660,316,660,14,0
23.0,700,255,700,14,0
24.0,715,208,715,17,0
25.0,700,172,700,17,0
26.0,656,151,656,17,0
27.0,595,131,595,16,1
28.0,527,113,527,14,3
29.0,449,98,449,14,3
30.0,387,94,387,14,3
31.0,318,88,318,12,5
32.0,239,83,239,9,8
33.0,176,81,176,5,12
34.0,134,78,134,4,13
35.0,100,75,100,3,14
36.0,80,74,80,3,14
37.0,60,74,60,3,14
38.0,40,73,40,0,17
39.0,26,72,26,0,17
40.0,23,71,23,0,17
41.0,18,70,18,0,17
42.0,13,70,13,0,17
43.0,11,70,11,0,17
44.0,9,69,9,0,17
45.0,6,69,6,0,17
46.0,5,69,5,0,17
47.0,5,69,5,0,17
48.0,4,69,4,0,17
49.0,3,69,3,0,17
50.0,2,69,2,0,17
51.0,1,69,1,0,17
52.0,1,69,1,0,17
53.0,2,68,2,0,17
54.0,1,68,1,0,17
55.0,1,68,1,0,17
56.0,1,68,1,0,17
57.0,1,68,1,0,17
58.0,1,68,1,0,17
59.0,1,68,1,0,17
60.0,1,68,1,0,17
61.0,1,68,1,0,17
62.0,1,68,1,0,17
63.0,0,68,0,0,17
64.0,0,68,0,0,17
65.0,0,68,0,0,17
66.0,0,68,0,0,17
67.0,0,68,0,0,17
68.0,0,68,0,0,17
69.0,0,68,0,0,17
70.0,0,68,0,0,17
71.0,0,68,0,0,17
72.0,0,68,0,0,17
73.0,0,68,0,0,17
74.0,0,68,0,0,17
75.0,0,68,0,0,17
76.0,0,68,0,0,17
77.0,0,68,0,0,17
78.0,0,68,0,0,17
79.0,0,68,0,0,17
80.0,0,68,0,0,17
81.0,0,68,0,0,17
82.0,0,68,0,0,17
83.0,0,68,0,0,17
84.0,0,68,0,0,17
85.0,0,68,0,0,17
86.0,0,68,0,0,17
87.0,0,68,0,0,17
88.0,0,68,0,0,17
89.0,0,68,0,0,17
90.0,0,68,0,0,17
91.0,0,68,0,0,17
92.0,1,67,1,0,17
93.0,1,67,1,0,17
94.0,1,67,1,0,17
95.0,1,67,1,0,17
96.0,1,67,1,0,17
97.0,1,67,1,0,17
98.0,1,67,1,0,17
99.0,1,67,1,0,17
100.0,1,67,1,0,17
