time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,1000,0,1000,167,0
2.0,1000,0,1000,167,0
3.0,1000,0,1000,167,0
4.0,1000,0,1000,167,0
5.0,1000,0,1000,167,0
6.0,1000,0,1000,167,0
7.0,1000,0,1000,167,0
8.0,1000,0,1000,167,0
9.0,1000,0,1000,167,0
10.0,1000,0,1000,167,0
11.0,167,0,167,167,0
12.0,167,0,167,167,0
13.0,167,0,167,167,0
14.0,166,0,166,166,1
15.0,0,0,0,0,167
16.0,0,0,0,0,167
17.0,0,0,0,0,167
18.0,0,0,0,0,167
19.0,0,0,0,0,167
20.0,0,0,0,0,167
21.0,0,0,0,0,167
22.0,0,0,0,0,167
23.0,0,0,0,0,167
24.0,0,0,0,0,167
25.0,0,0,0,0,167
26.0,0,0,0,0,167
27.0,0,0,0,0,167
28.0,0,0,0,0,167
29.0,0,0,0,0,167
30.0,0,0,0,0,167
31.0,0,0,0,0,167
32.0,0,0,0,0,167
33.0,0,0,0,0,167
34.0,0,0,0,0,167
35.0,0,0,0,0,167
36.0,0,0,0,0,167
37.0,0,0,0,0,167
38.0,0,0,0,0,167
39.0,0,0,0,0,167
40.0,0,0,0,0,167
41.0,0,0,0,0,167
42.0,0,0,0,0,167
43.0,0,0,0,0,167
44.0,0,0,0,0,167
45.0,0,0,0,0,167
46.0,0,0,0,0,167
47.0,0,0,0,0,167
48.0,0,0,0,0,167
49.0,0,0,0,0,167
50.0,0,0,0,0,167
51.0,0,0,0,0,167
52.0,0,0,0,0,167
53.0,0,0,0,0,167
54.0,0,0,0,0,167
55.0,0,0,0,0,167
56.0,0,0,0,0,167
57.0,0,0,0,0,167
58.0,0,0,0,0,167
59.0,0,0,0,0,167
60.0,0,0,0,0,167
61.0,0,0,0,0,167
62.0,0,0,0,0,167
63.0,0,0,0,0,167
64.0,0,0,0,0,167
65.0,0,0,0,0,167
66.0,0,0,0,0,167
67.0,0,0,0,0,167
68.0,0,0,0,0,167
69.0,0,0,0,0,167
70.0,0,0,0,0,167
71.0,0,0,0,0,167
72.0,0,0,0,0,167
73.0,0,0,0,0,167
74.0,0,0,0,0,167
75.0,0,0,0,0,167
76.0,0,0,0,0,167
77.0,0,0,0,0,167
78.0,0,0,0,0,167
79.0,0,0,0,0,167
80.0,0,0,0,0,167
81.0,0,0,0,0,167
82.0,0,0,0,0,167
83.0,0,0,0,0,167
84.0,0,0,0,0,167
85.0,0,0,0,0,167
86.0,0,0,0,0,167
87.0,0,0,0,0,167
88.0,0,0,0,0,167
89.0,0,0,0,0,167
90.0,0,0,0,0,167
91.0,0,0,0,0,167
92.0,0,0,0,0,167
93.0,0,0,0,0,167
94.0,0,0,0,0,167
95.0,0,0,0,0,167
96.0,0,0,0,0,167
97.0,0,0,0,0,167
98.0,0,0,0,0,167
99.0,0,0,0,0,167
100.0,0,0,0,0,167
