time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,3,197,3,0,0
3.0,3,197,3,0,0
4.0,3,197,3,0,0
5.0,3,197,3,0,0
6.0,3,197,3,0,0
7.0,3,197,3,0,0
8.0,3,197,3,0,0
9.0,4,196,4,0,0
10.0,4,195,4,0,0
11.0,4,195,4,0,0
12.0,3,194,3,0,0
13.0,4,193,4,0,0
14.0,5,192,5,0,0
15.0,5,192,5,0,0
16.0,6,191,6,0,0
17.0,7,190,7,0,0
18.0,9,188,9,0,0
19.0,9,187,9,0,0
20.0,9,186,9,0,0
21.0,16,179,16,0,0
22.0,17,177,17,0,0
23.0,19,174,19,1,0
24.0,20,172,20,2,0
25.0,23,169,23,2,0
26.0,25,166,25,3,0
27.0,27,163,27,4,0
28.0,25,163,25,4,0
29.0,30,157,30,6,0
30.0,35,151,35,7,0
31.0,37,142,37,7,0
32.0,46,131,46,7,0
33.0,52,123,52,7,0
34.0,59,115,59,8,0
35.0,63,108,63,8,0
36.0,68,101,68,8,0
37.0,79,87,79,7,1
38.0,83,82,83,8,2
39.0,90,71,90,8,2
40.0,95,60,95,9,3
41.0,93,52,93,8,4
42.0,86,48,86,8,4
43.0,80,44,80,6,6
44.0,76,40,76,5,7
45.0,69,40,69,5,7
46.0,67,35,67,5,7
47.0,55,33,55,6,7
48.0,52,32,52,5,8
49.0,42,31,42,5,8
50.0,34,30,34,5,8
51.0,27,29,27,5,8
52.0,22,28,22,3,10
53.0,19,27,19,3,10
54.0,14,26,14,1,12
55.0,15,25,15,1,12
56.0,10,25,10,1,12
57.0,9,25,9,1,12
58.0,11,22,11,1,12
59.0,10,22,10,1,12
60.0,9,22,9,1,12
61.0,7,22,7,0,13
62.0,6,22,6,0,13
63.0,5,22,5,0,13
64.0,4,22,4,0,13
65.0,3,22,3,0,13
66.0,3,22,3,0,13
67.0,3,22,3,0,13
68.0,0,22,0,0,13
69.0,1,22,1,0,13
70.0,1,22,1,0,13
71.0,1,22,1,0,13
72.0,1,22,1,0,13
73.0,1,22,1,0,13
74.0,1,22,1,0,13
75.0,1,22,1,0,13
76.0,1,22,1,0,13
77.0,1,22,1,0,13
78.0,1,22,1,0,13
79.0,0,22,0,0,13
80.0,0,22,0,0,13
81.0,0,22,0,0,13
82.0,0,22,0,0,13
83.0,0,22,0,0,13
84.0,0,22,0,0,13
85.0,0,22,0,0,13
86.0,0,22,0,0,13
87.0,0,22,0,0,13
88.0,0,22,0,0,13
89.0,0,22,0,0,13
90.0,0,22,0,0,13
91.0,0,22,0,0,13
92.0,0,22,0,0,13
93.0,0,22,0,0,13
94.0,0,22,0,0,13
95.0,0,22,0,0,13
96.0,0,22,0,0,13
97.0,0,22,0,0,13
98.0,0,22,0,0,13
99.0,0,22,0,0,13
100.0,0,22,0,0,13
