time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2,1,199,1,0,0
3.0,2,198,2,0,0
4.0,4,196,4,0,0
5.0,5,195,5,0,0
6.0,7,193,7,0,0
7.0,11,189,11,1,0
8.0,13,187,13,1,0
9.0,18,182,18,2,0
10.0,26,173,26,2,0
11.0,35,164,35,2,0
12.0,58,141,58,3,0
13.0,74,124,74,4,0
14.0,92,104,92,4,0
15.0,101,94,101,4,0
16.0,117,76,117,4,0
17.0,127,63,127,4,0
18.0,139,49,139,5,0
19.0,148,36,148,6,0
20.0,152,23,152,6,0
21.0,148,17,148,5,1
22.0,132,11,132,5,1
23.0,119,7,119,4,2
24.0,101,5,101,4,2
25.0,93,3,93,4,2
26.0,76,1,76,3,3
27.0,62,1,62,2,4
28.0,49,1,49,2,4
29.0,37,1,37,2,4
30.0,24,1,24,2,4
31.0,18,1,18,2,4
32.0,11,1,11,1,5
33.0,6,1,6,0,6
34.0,4,1,4,0,6
35.0,2,1,2,0,6
36.0,0,1,0,0,6
37.0,0,1,0,0,6
38.0,0,1,0,0,6
39.0,0,1,0,0,6
40.0,0,1,0,0,6
41.0,0,1,0,0,6
42.0,0,1,0,0,6
43.0,0,1,0,0,6
44.0,1,1,1,1,5
45.0,1,1,1,1,5
46.0,1,1,1,1,5
47.0,1,1,1,1,5
48.0,1,1,1,1,5
49.0,1,1,1,1,5
50.0,1,1,1,1,5
51.0,1,1,1,1,5
52.0,1,1,1,1,5
53.0,1,1,1,1,5
54.0,1,1,1,1,5
55.0,1,1,1,1,5
56.0,1,1,1,1,5
57.0,1,1,1,1,5
58.0,0,1,0,0,6
59.0,0,1,0,0,6
60.0,0,1,0,0,6
61.0,0,1,0,0,6
62.0,0,1,0,0,6
63.0,0,1,0,0,6
64.0,0,1,0,0,6
65.0,0,1,0,0,6
66.0,0,1,0,0,6
67.0,0,1,0,0,6
68.0,0,1,0,0,6
69.0,0,1,0,0,6
70.0,0,1,0,0,6
71.0,0,1,0,0,6
72.0,0,1,0,0,6
73.0,0,1,0,0,6
74.0,0,1,0,0,6
75.0,0,1,0,0,6
76.0,0,1,0,0,6
77.0,0,1,0,0,6
78.0,0,1,0,0,6
79.0,0,1,0,0,6
80.0,0,1,0,0,6
81.0,0,1,0,0,6
82.0,0,1,0,0,6
83.0,0,1,0,0,6
84.0,0,1,0,0,6
85.0,0,1,0,0,6
86.0,0,1,0,0,6
87.0,0,1,0,0,6
88.0,0,1,0,0,6
89.0,0,1,0,0,6
90.0,0,1,0,0,6
91.0,0,1,0,0,6
92.0,0,1,0,0,6
93.0,0,1,0,0,6
94.0,0,1,0,0,6
95.0,0,1,0,0,6
96.0,0,1,0,0,6
97.0,0,1,0,0,6
98.0,0,1,0,0,6
99.0,0,1,0,0,6
100.0,0,1,0,0,6
