time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6,1,999,1,0,0
7.0,2,998,2,0,0
8.0,2,998,2,0,0
9.0,2,998,2,0,0
10.0,1,998,1,0,0
11.0,2,997,2,0,0
12.0,3,996,3,0,0
13.0,3,996,3,0,0
14.0,3,996,3,0,0
15.0,3,996,3,0,0
16.0,4,995,4,0,0
17.0,4,994,4,0,0
18.0,4,994,4,0,0
19.0,4,994,4,0,0
20.0,4,994,4,0,0
21.0,6,991,6,0,0
22.0,6,990,6,0,0
23.0,13,983,13,0,0
24.0,14,982,14,0,0
25.0,19,977,19,0,0
26.0,21,974,21,2,0
27.0,26,968,26,2,0
28.0,36,958,36,3,0
29.0,43,951,43,3,0
30.0,52,942,52,3,0
31.0,58,933,58,7,0
32.0,68,922,68,7,0
33.0,69,914,69,9,0
34.0,76,906,76,11,0
35.0,87,890,87,15,0
36.0,99,877,99,17,0
37.0,108,862,108,18,0
38.0,123,838,123,20,0
39.0,147,807,147,23,0
40.0,158,785,158,22,2
41.0,177,761,177,25,2
42.0,192,734,192,24,3
43.0,225,695,225,30,3
44.0,238,676,238,32,3
45.0,245,653,245,30,7
46.0,258,629,258,31,7
47.0,266,605,266,31,9
48.0,269,578,269,32,11
49.0,255,560,255,30,15
50.0,246,546,246,32,17
51.0,239,531,239,33,18
52.0,222,519,222,32,20
53.0,197,508,197,31,23
54.0,190,497,190,33,24
55.0,176,487,176,31,27
56.0,159,481,159,32,27
57.0,136,476,136,28,33
58.0,115,471,115,26,35
59.0,104,464,104,26,37
60.0,101,456,101,27,38
61.0,90,452,90,25,40
62.0,82,446,82,22,43
63.0,81,436,81,20,45
64.0,76,429,76,18,49
65.0,68,426,68,16,51
66.0,63,425,63,16,52
67.0,64,419,64,14,54
68.0,60,415,60,11,57
69.0,56,413,56,10,58
70.0,50,412,50,9,59
71.0,46,410,46,7,61
72.0,41,409,41,7,61
73.0,31,407,31,6,63
74.0,25,406,25,4,65
75.0,24,404,24,4,65
76.0,25,403,25,4,65
77.0,20,402,20,4,65
78.0,15,401,15,2,67
79.0,16,398,16,2,67
80.0,15,397,15,1,68
81.0,14,396,14,1,68
82.0,13,396,13,1,68
83.0,12,396,12,1,68
84.0,11,396,11,1,68
85.0,9,396,9,1,68
86.0,8,396,8,1,68
87.0,6,396,6,0,69
88.0,5,396,5,0,69
89.0,2,396,2,0,69
90.0,2,395,2,1,69
91.0,1,395,1,1,69
92.0,1,395,1,1,69
93.0,1,395,1,1,69
94.0,1,395,1,1,69
95.0,2,394,2,1,69
96.0,2,394,2,1,69
97.0,2,394,2,1,69
98.0,2,394,2,1,69
99.0,2,394,2,1,69
100.0,2,394,2,1,69
