time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6,1,999,1,0,0
7,1,999,1,0,0
8,1,999,1,0,0
9,1,999,1,0,0
10,0,999,0,0,0
11,0,999,0,0,0
12,0,999,0,0,0
13,0,999,0,0,0
14,0,999,0,0,0
15,0,999,0,0,0
16,0,999,0,0,0
17,0,999,0,0,0
18,0,999,0,0,0
19,0,999,0,0,0
20,0,999,0,0,0
21,0,999,0,0,0
22,0,999,0,0,0
23,0,999,0,0,0
24,0,999,0,0,0
25,0,999,0,0,0
26,0,999,0,0,0
27,0,999,0,0,0
28,0,999,0,0,0
29,0,999,0,0,0
30,0,999,0,0,0
31.0,1,998,1,0,0
32.0,3,996,3,0,0
33.0,7,992,7,0,0
34.0,10,989,10,0,0
35.0,18,981,18,0,0
36.0,36,963,36,0,0
37.0,49,950,49,1,0
38.0,62,937,62,2,0
39.0,85,914,85,3,0
40.0,103,896,103,3,0
41.0,138,860,138,3,0
42.0,168,828,168,3,0
43.0,195,797,195,3,0
44.0,236,753,236,3,0
45.0,272,709,272,3,0
46.0,305,658,305,3,0
47.0,332,619,332,3,0
48.0,356,583,356,4,0
49.0,376,541,376,5,0
50.0,398,501,398,5,0
51.0,396,466,396,5,1
52.0,385,444,385,5,2
53.0,368,429,368,4,3
54.0,348,405,348,4,3
55.0,328,381,328,5,3
56.0,299,359,299,5,3
57.0,281,338,281,5,3
58.0,254,330,254,5,3
59.0,224,319,224,5,3
60.0,195,308,195,5,3
61.0,175,294,175,5,3
62.0,161,286,161,5,4
63.0,153,278,153,4,5
64.0,135,272,135,4,5
65.0,116,267,116,3,6
66.0,99,261,99,2,7
67.0,79,260,79,2,7
68.0,72,259,72,2,7
69.0,62,257,62,1,8
70.0,51,257,51,1,8
71.0,39,255,39,1,8
72.0,34,253,34,1,8
73.0,26,253,26,1,8
74.0,20,253,20,1,8
75.0,15,253,15,1,8
76.0,8,253,8,0,9
77.0,7,253,7,0,9
78.0,6,253,6,0,9
79.0,4,253,4,0,9
80.0,5,252,5,0,9
81.0,3,252,3,0,9
82.0,1,252,1,0,9
83.0,1,252,1,0,9
84.0,1,252,1,0,9
85.0,1,252,1,0,9
86.0,1,252,1,0,9
87.0,1,252,1,0,9
88.0,1,252,1,0,9
89.0,1,252,1,0,9
90.0,0,252,0,0,9
91.0,0,252,0,0,9
92.0,0,252,0,0,9
93.0,1,252,1,0,9
94.0,1,252,1,0,9
95.0,1,252,1,0,9
96.0,1,252,1,0,9
97.0,1,252,1,0,9
98.0,1,252,1,0,9
99.0,1,252,1,0,9
100.0,1,252,1,0,9
