time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,1,99,1,1,0
2.0,1,99,1,1,0
3.0,1,99,1,1,0
4.0,1,99,1,1,0
5.0,1,99,1,1,0
6.0,1,99,1,1,0
7.0,4,96,4,2,0
8.0,8,92,8,3,0
9.0,12,88,12,4,0
10.0,18,82,18,6,0
11.0,20,80,20,8,0
12.0,27,73,27,11,0
13.0,35,65,35,13,0
14.0,39,60,39,12,1
15.0,40,59,40,12,1
16.0,43,56,43,12,1
17.0,48,49,48,13,1
18.0,50,44,50,13,1
19.0,51,40,51,14,1
20.0,48,39,48,15,1
21.0,50,36,50,14,2
22.0,48,33,48,13,3
23.0,43,31,43,12,4
24.0,41,26,41,11,6
25.0,40,24,40,9,8
26.0,36,22,36,6,11
27.0,29,21,29,4,13
28.0,26,19,26,4,13
29.0,25,17,25,5,13
30.0,29,13,29,5,13
31.0,29,9,29,5,14
32.0,28,7,28,5,14
33.0,26,6,26,5,15
34.0,23,4,23,4,16
35.0,21,4,21,4,16
36.0,19,4,19,4,16
37.0,18,4,18,4,16
38.0,16,3,16,4,17
39.0,15,3,15,4,17
40.0,12,2,12,5,17
41.0,9,2,9,5,17
42.0,7,2,7,5,17
43.0,6,2,6,4,18
44.0,4,2,4,4,18
45.0,3,2,3,3,19
46.0,3,2,3,3,19
47.0,2,2,2,2,20
48.0,2,2,2,2,20
49.0,2,2,2,2,20
50.0,2,2,2,2,20
51.0,2,2,2,2,20
52.0,1,2,1,1,21
53.0,1,2,1,1,21
54.0,0,2,0,0,22
55.0,0,2,0,0,22
56.0,0,2,0,0,22
57.0,0,2,0,0,22
58.0,0,2,0,0,22
59.0,0,2,0,0,22
60.0,0,2,0,0,22
61.0,0,2,0,0,22
62.0,0,2,0,0,22
63.0,0,2,0,0,22
64.0,0,2,0,0,22
65.0,0,2,0,0,22
66.0,0,2,0,0,22
67.0,0,2,0,0,22
68.0,0,2,0,0,22
69.0,0,2,0,0,22
70.0,0,2,0,0,22
71.0,0,2,0,0,22
72.0,0,2,0,0,22
73.0,0,2,0,0,22
74.0,0,2,0,0,22
75.0,0,2,0,0,22
76.0,0,2,0,0,22
77.0,0,2,0,0,22
78.0,0,2,0,0,22
79.0,0,2,0,0,22
80.0,0,2,0,0,22
81.0,0,2,0,0,22
82.0,0,2,0,0,22
83.0,0,2,0,0,22
84.0,0,2,0,0,22
85.0,0,2,0,0,22
86.0,0,2,0,0,22
87.0,0,2,0,0,22
88.0,0,2,0,0,22
89.0,0,2,0,0,22
90.0,0,2,0,0,22
91.0,0,2,0,0,22
92.0,0,2,0,0,22
93.0,0,2,0,0,22
94.0,0,2,0,0,22
95.0,0,2,0,0,22
96.0,0,2,0,0,22
97.0,0,2,0,0,22
98.0,0,2,0,0,22
99.0,0,2,0,0,22
100.0,0,2,0,0,22
